date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
31/05/18,Padania,Matabeleland,6,1,CONIFA World Football Cup,Sutton,England,TRUE
31/05/18,United Koreans in Japan,Western Armenia,0,0,CONIFA World Football Cup,Carshalton,England,TRUE
31/05/18,Panjab,Kabylia,8,0,CONIFA World Football Cup,Slough,England,TRUE
01/06/18,France,Italy,3,1,Friendly,Nice,France,FALSE
01/06/18,Turkey,Tunisia,2,2,Friendly,Geneva,Switzerland,TRUE
01/06/18,South Korea,Bosnia and Herzegovina,1,3,Friendly,Jeonju,South Korea,FALSE
01/06/18,Czech Republic,Australia,0,4,Friendly,Sankt Pölten,Austria,TRUE
01/06/18,Algeria,Cape Verde,2,3,Friendly,Algiers,Algeria,FALSE
01/06/18,Colombia,Egypt,0,0,Friendly,Bergamo,Italy,TRUE
01/06/18,Malta,Georgia,0,1,Friendly,Schwaz,Austria,TRUE
01/06/18,Botswana,Mauritius,6,0,COSAFA Cup,Polokwane,South Africa,TRUE
01/06/18,Angola,Malawi,0,0,COSAFA Cup,Polokwane,South Africa,TRUE
01/06/18,India,Taiwan,5,0,Intercontinental Cup,Mumbai,India,FALSE
02/06/18,El Salvador,Honduras,1,0,Friendly,Houston,United States,TRUE
02/06/18,Thailand,China PR,0,2,Friendly,Bangkok,Thailand,FALSE
02/06/18,England,Nigeria,2,1,Friendly,London,England,FALSE
02/06/18,Montenegro,Slovenia,0,2,Friendly,Podgorica,Montenegro,FALSE
02/06/18,Mexico,Scotland,1,0,Friendly,Mexico City,Mexico,FALSE
02/06/18,Sweden,Denmark,0,0,Friendly,Solna,Sweden,FALSE
02/06/18,Republic of Ireland,United States,2,1,Friendly,Dublin,Republic of Ireland,FALSE
02/06/18,Belgium,Portugal,0,0,Friendly,Brussels,Belgium,FALSE
02/06/18,Austria,Germany,2,1,Friendly,Klagenfurt,Austria,FALSE
02/06/18,Niger,Uganda,2,1,Friendly,Niamey,Niger,FALSE
02/06/18,Iceland,Norway,2,3,Friendly,Reykjavík,Iceland,FALSE
02/06/18,Zambia,Namibia,0,0,COSAFA Cup,Polokwane,South Africa,TRUE
02/06/18,Lesotho,Eswatini,1,0,COSAFA Cup,Polokwane,South Africa,TRUE
02/06/18,Latvia,Estonia,1,0,Baltic Cup,Riga,Latvia,FALSE
02/06/18,Kenya,New Zealand,2,1,Intercontinental Cup,Mumbai,India,TRUE
02/06/18,Ellan Vannin,Tamil Eelam,2,0,CONIFA World Football Cup,Carshalton,England,TRUE
02/06/18,Barawa,Cascadia,1,2,CONIFA World Football Cup,Carshalton,England,FALSE
02/06/18,Abkhazia,Kárpátalja,0,2,CONIFA World Football Cup,Enfield,England,TRUE
02/06/18,Northern Cyprus,Tibet,3,1,CONIFA World Football Cup,Enfield,England,TRUE
02/06/18,Székely Land,Matabeleland,5,0,CONIFA World Football Cup,Haringey,England,TRUE
02/06/18,Padania,Tuvalu,8,0,CONIFA World Football Cup,Haringey,England,TRUE
02/06/18,United Koreans in Japan,Kabylia,0,0,CONIFA World Football Cup,Bracknell,England,TRUE
02/06/18,Panjab,Western Armenia,0,1,CONIFA World Football Cup,Slough,England,TRUE
03/06/18,Albania,Ukraine,1,4,Friendly,Évian-les-Bains,France,TRUE
03/06/18,Saudi Arabia,Peru,0,3,Friendly,St. Gallen,Switzerland,TRUE
03/06/18,Spain,Switzerland,1,1,Friendly,Vila-real,Spain,FALSE
03/06/18,Croatia,Brazil,0,2,Friendly,Liverpool,England,TRUE
03/06/18,Costa Rica,Northern Ireland,3,0,Friendly,San José,Costa Rica,FALSE
03/06/18,Barbados,Belize,0,0,Friendly,Bridgetown,Barbados,FALSE
03/06/18,Andorra,Cape Verde,0,0,Friendly,Almada,Portugal,TRUE
03/06/18,South Africa,Madagascar,0,0,COSAFA Cup,Polokwane,South Africa,FALSE
03/06/18,Zimbabwe,Botswana,1,1,COSAFA Cup,Polokwane,South Africa,TRUE
03/06/18,Tamil Eelam,Cascadia,0,6,CONIFA World Football Cup,Haringey,England,TRUE
